ptp4l[15180.575]: selected /dev/ptp0 as PTP clock
ptp4l[15180.579]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15180.580]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15180.580]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[15181.078]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[15185.078]: selected best master clock 641c10.fffe.f12579
ptp4l[15185.078]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[15187.075]: master offset   -4189877 s0 freq      +2 path delay     26334
ptp4l[15188.075]: master offset   -4271282 s1 freq  -81400 path delay     26334
ptp4l[15189.075]: master offset     -79355 s2 freq -160755 path delay     26334
ptp4l[15189.075]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[15190.075]: master offset    -160740 s2 freq -265947 path delay     26334
ptp4l[15191.075]: master offset    -102992 s2 freq -256421 path delay     20091
ptp4l[15192.076]: master offset     -56035 s2 freq -240361 path delay     20091
ptp4l[15193.076]: master offset     -15178 s2 freq -216315 path delay     18045
ptp4l[15194.076]: master offset      13798 s2 freq -191892 path delay     16000
ptp4l[15195.076]: master offset      28811 s2 freq -172740 path delay     15606
ptp4l[15196.076]: master offset      35528 s2 freq -157380 path delay     13945
ptp4l[15197.076]: master offset      22594 s2 freq -159655 path delay     13506
ptp4l[15198.076]: master offset      31987 s2 freq -143484 path delay     13506
ptp4l[15199.076]: master offset      22371 s2 freq -143504 path delay     13506
ptp4l[15200.076]: master offset      14317 s2 freq -144847 path delay     11920
ptp4l[15201.077]: master offset     -67029 s2 freq -221898 path delay     11920
ptp4l[15202.077]: master offset    -148408 s2 freq -323385 path delay     11920
ptp4l[15203.077]: master offset    -228230 s2 freq -447730 path delay     10359
ptp4l[15204.077]: master offset    -310763 s2 freq -598732 path delay     11507
