ptp4l[13866.330]: selected /dev/ptp0 as PTP clock
ptp4l[13866.333]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13866.333]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13866.334]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[13867.236]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[13871.236]: selected best master clock 641c10.fffe.f12579
ptp4l[13871.237]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[13873.233]: master offset    6492111 s0 freq  -55829 path delay   -415139
ptp4l[13874.233]: master offset    8064781 s1 freq +1514527 path delay   -562981
ptp4l[13875.234]: master offset   -1604514 s2 freq  -89987 path delay   -562981
ptp4l[13875.234]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[13876.234]: master offset   -1823088 s2 freq -789916 path delay   -136203
ptp4l[13877.234]: master offset   -1115843 s2 freq -629597 path delay   -133216
ptp4l[13878.234]: master offset    -562618 s2 freq -411125 path delay   -136203
ptp4l[13879.234]: master offset    -235456 s2 freq -252748 path delay   -133216
ptp4l[13880.234]: master offset     -66424 s2 freq -154353 path delay   -130229
ptp4l[13881.234]: master offset     232586 s2 freq +124730 path delay   -125437
ptp4l[13882.234]: master offset     158212 s2 freq +120132 path delay    -36980
ptp4l[13883.234]: master offset      61127 s2 freq  +70510 path delay    -16140
ptp4l[13884.235]: master offset     -89982 s2 freq  -62261 path delay    -16140
ptp4l[13885.234]: master offset     191340 s2 freq +192067 path delay    -16140
ptp4l[13886.235]: master offset     -87046 s2 freq  -28917 path delay    -10617
ptp4l[13887.235]: master offset    -160986 s2 freq -128971 path delay     11181
ptp4l[13888.235]: master offset    -112979 s2 freq -129260 path delay     11181
ptp4l[13889.235]: master offset     -64697 s2 freq -114872 path delay     11181
ptp4l[13890.235]: master offset     -30763 s2 freq -100347 path delay     11181
ptp4l[13891.235]: master offset      -4349 s2 freq  -83162 path delay      4125
ptp4l[13892.235]: master offset       1897 s2 freq  -78220 path delay        62
ptp4l[13893.235]: master offset       -899 s2 freq  -80447 path delay        62
ptp4l[13894.235]: master offset      -1413 s2 freq  -81231 path delay        62
ptp4l[13895.236]: master offset      -1143 s2 freq  -81385 path delay        62
ptp4l[13896.236]: master offset       -719 s2 freq  -81304 path delay        62
ptp4l[13897.236]: master offset     182800 s2 freq +102000 path delay        62
ptp4l[13898.236]: master offset       -216 s2 freq  -26176 path delay       486
ptp4l[13899.236]: master offset    1423354 s2 freq +1397329 path delay       486
ptp4l[13900.236]: master offset     -61448 s2 freq +339533 path delay       793
ptp4l[13901.236]: master offset    -482524 s2 freq  -99977 path delay       823
ptp4l[13902.236]: master offset    -463405 s2 freq -225616 path delay       823
ptp4l[13903.236]: master offset    -318485 s2 freq -219717 path delay       823
ptp4l[13904.236]: master offset    -179477 s2 freq -176255 path delay       823
ptp4l[13905.237]: master offset     -84217 s2 freq -134838 path delay       823
ptp4l[13906.237]: master offset     -30263 s2 freq -106149 path delay       823
ptp4l[13907.237]: master offset     164288 s2 freq  +79323 path delay       793
ptp4l[13908.237]: master offset       4484 s2 freq  -31194 path delay       793
ptp4l[13909.237]: master offset     -54362 s2 freq  -88695 path delay      9811
ptp4l[13910.237]: master offset     -46693 s2 freq  -97335 path delay      9811
ptp4l[13911.237]: master offset     -27651 s2 freq  -92301 path delay      7144
ptp4l[13912.237]: master offset     250356 s2 freq +177411 path delay     -4158
ptp4l[13913.237]: master offset      -7468 s2 freq   -5306 path delay     -4158
ptp4l[13914.237]: master offset     -83216 s2 freq  -83295 path delay     -4158
ptp4l[13915.237]: master offset      36112 s2 freq  +11069 path delay     -1903
ptp4l[13916.237]: master offset     -60480 s2 freq  -74690 path delay      3026
ptp4l[13917.237]: master offset      12216 s2 freq  -20138 path delay      3078
ptp4l[13918.238]: master offset     -48295 s2 freq  -76984 path delay      3078
ptp4l[13919.238]: master offset     -51014 s2 freq  -94191 path delay      1783
ptp4l[13920.238]: master offset     -37824 s2 freq  -96306 path delay      1783
ptp4l[13921.238]: master offset     -22520 s2 freq  -92349 path delay      1783
ptp4l[13922.238]: master offset    1401530 s2 freq +1324945 path delay      1252
ptp4l[13923.238]: master offset     655740 s2 freq +999614 path delay      1783
ptp4l[13924.238]: master offset    -315522 s2 freq +225074 path delay      1783
ptp4l[13925.238]: master offset    -622633 s2 freq -176693 path delay      3078
ptp4l[13926.238]: master offset    -526573 s2 freq -267423 path delay      2650
ptp4l[13927.239]: master offset    -192277 s2 freq  -91099 path delay      -982
ptp4l[13928.239]: master offset    -181655 s2 freq -138160 path delay      -982
ptp4l[13929.239]: master offset    -117922 s2 freq -128924 path delay     -7516
ptp4l[13930.239]: master offset     -66880 s2 freq -113258 path delay    -10632
ptp4l[13931.239]: master offset    1356830 s2 freq +1290388 path delay    -10632
ptp4l[13932.239]: master offset     -25246 s2 freq +315361 path delay    -10632
ptp4l[13933.239]: master offset    1397503 s2 freq +1730536 path delay    -10632
ptp4l[13934.239]: master offset    -116886 s2 freq +635398 path delay    -10632
