ptp4l[11789.855]: selected /dev/ptp0 as PTP clock
ptp4l[11789.859]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[11789.860]: port 0 (/var/run/ptp/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[11789.860]: port 0 (/var/run/ptp/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[11789.909]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[11793.909]: selected best master clock 641c10.fffe.f12579
ptp4l[11793.910]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[11795.906]: master offset   11532234 s0 freq  -84658 path delay   -750662
ptp4l[11796.906]: master offset   12660144 s1 freq +1041539 path delay   -374994
ptp4l[11797.906]: master offset   -1122365 s2 freq  -80826 path delay   -374994
ptp4l[11797.907]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[11798.906]: master offset    2250620 s2 freq +2955449 path delay   -748721
ptp4l[11799.906]: master offset     319727 s2 freq +1699742 path delay   -374024
ptp4l[11800.907]: master offset   -1474285 s2 freq   +1648 path delay   -374024
ptp4l[11801.907]: master offset    1795222 s2 freq +2828870 path delay   -727013
ptp4l[11802.907]: master offset   -1125686 s2 freq +446528 path delay   -727013
ptp4l[11803.907]: master offset    1353880 s2 freq +2588389 path delay   -736739
ptp4l[11804.907]: master offset     159609 s2 freq +1800282 path delay   -727013
ptp4l[11805.907]: master offset    -305824 s2 freq +1382731 path delay   -654627
ptp4l[11806.907]: master offset    -559526 s2 freq +1037282 path delay   -371074
ptp4l[11807.907]: master offset    -553980 s2 freq +874970 path delay       461
ptp4l[11808.907]: master offset     -15446 s2 freq +1247310 path delay       461
ptp4l[11809.907]: master offset   -1346439 s2 freq  -88317 path delay       461
ptp4l[11810.908]: master offset    1660164 s2 freq +2514355 path delay       461
ptp4l[11811.908]: master offset     347209 s2 freq +1699449 path delay    182571
ptp4l[11812.908]: master offset   -1446574 s2 freq   +9829 path delay    182571
ptp4l[11813.908]: master offset    1462005 s2 freq +2484435 path delay    182571
ptp4l[11814.908]: master offset     382037 s2 freq +1843069 path delay    182571
ptp4l[11815.908]: master offset   -1565012 s2 freq  +10631 path delay    182571
ptp4l[11816.908]: master offset    1502795 s2 freq +2608934 path delay     22203
ptp4l[11817.908]: master offset     177477 s2 freq +1734455 path delay    107991
ptp4l[11818.908]: master offset   -1640224 s2 freq  -30003 path delay    107991
ptp4l[11819.908]: master offset    1593862 s2 freq +2712016 path delay   -178094
ptp4l[11820.909]: master offset   -1069587 s2 freq +526725 path delay   -312148
ptp4l[11821.908]: master offset    1645743 s2 freq +2921179 path delay   -636969
ptp4l[11822.909]: master offset      89212 s2 freq +1858371 path delay   -636969
ptp4l[11823.909]: master offset   -1858187 s2 freq  -62264 path delay   -636969
ptp4l[11824.909]: master offset    1122088 s2 freq +2360555 path delay   -636969
ptp4l[11825.909]: master offset    -181702 s2 freq +1393391 path delay   -316750
ptp4l[11826.909]: master offset    -492623 s2 freq +1027960 path delay      8070
ptp4l[11827.909]: master offset    -106981 s2 freq +1265815 path delay      8070
ptp4l[11828.909]: master offset     -34766 s2 freq +1305935 path delay     79346
ptp4l[11829.909]: master offset   -1431686 s2 freq -101414 path delay     79346
ptp4l[11830.910]: master offset    1587905 s2 freq +2488671 path delay     79346
ptp4l[11831.910]: master offset    -992146 s2 freq +384991 path delay     79346
ptp4l[11832.910]: master offset    1539792 s2 freq +2619285 path delay     79346
ptp4l[11833.910]: master offset   -1199859 s2 freq +341572 path delay     79346
ptp4l[11834.910]: master offset      67543 s2 freq +1249016 path delay   -112908
